alpha,total_fixed_points,stable_fixed_points,fixed_points,stable_points
9.3,3,2,"[(0.10879971813618405, 9.191200281863816), (1.9447583652479157, 1.944758365247915), (9.191200281863814, 0.10879971813618426)]","[(0.10879971813618405, 9.191200281863816), (9.191200281863814, 0.10879971813618426)]"
9.4,3,2,"[(0.10761499871798601, 9.292385001282016), (1.9528271786185558, 1.9528271786185551), (9.292385001282014, 0.1076149987179864)]","[(0.10761499871798601, 9.292385001282016), (9.292385001282014, 0.1076149987179864)]"
9.5,3,2,"[(0.10645609474832204, 9.39354390525168), (1.9608351349649595, 1.9608351349649595), (9.39354390525168, 0.10645609474832247)]","[(0.10645609474832204, 9.39354390525168), (9.39354390525168, 0.10645609474832247)]"
9.6,3,2,"[(0.10532216227779866, 9.494677837722202), (1.968783349568743, 1.9687833495687423), (9.4946778377222, 0.10532216227779907)]","[(0.10532216227779866, 9.494677837722202), (9.4946778377222, 0.10532216227779907)]"
9.700000000000001,3,2,"[(0.10421239413308822, 9.595787605866914), (1.976672905656383, 1.9766729056563839), (9.595787605866914, 0.10421239413308761)]","[(0.10421239413308822, 9.595787605866914), (9.595787605866914, 0.10421239413308761)]"
9.8,3,2,"[(0.10312601791541726, 9.696873982084583), (1.9845048556449927, 1.984504855644991), (9.696873982084583, 0.10312601791541745)]","[(0.10312601791541726, 9.696873982084583), (9.696873982084583, 0.10312601791541745)]"
9.9,3,2,"[(0.10206229412959486, 9.797937705870407), (1.9922802223273837, 1.9922802223273883), (9.797937705870403, 0.1020622941295956)]","[(0.10206229412959486, 9.797937705870407), (9.797937705870403, 0.1020622941295956)]"
10.0,3,2,"[(0.10102051443364266, 9.89897948556636), (2.0, 2.0), (9.898979485566358, 0.10102051443364378)]","[(0.10102051443364266, 9.89897948556636), (9.898979485566358, 0.10102051443364378)]"
10.1,3,2,"[(0.09999999999999903, 10.000000000000002), (2.007665155536952, 2.0076651555369462), (10.0, 0.09999999999999999)]","[(0.09999999999999903, 10.000000000000002), (10.0, 0.09999999999999999)]"
10.200000000000001,3,2,"[(0.09900009998000407, 10.100999900019998), (2.0152766294133104, 2.0152766294133064), (10.100999900019996, 0.09900009998000499)]","[(0.09900009998000407, 10.100999900019998), (10.100999900019996, 0.09900009998000499)]"
10.3,3,2,"[(0.09802019006409711, 10.201979809935903), (2.0228353366804943, 2.022835336680493), (10.201979809935903, 0.09802019006409726)]","[(0.09802019006409711, 10.201979809935903), (10.201979809935903, 0.09802019006409726)]"
10.4,3,2,"[(0.09705967113077153, 10.302940328869228), (2.0303421678964293, 2.030342167896431), (10.30294032886923, 0.0970596711307705)]","[(0.09705967113077153, 10.302940328869228), (10.30294032886923, 0.0970596711307705)]"
10.5,3,2,"[(0.09611796797792385, 10.403882032022077), (2.037797990013019, 2.0377979900130185), (10.403882032022075, 0.09611796797792432)]","[(0.09611796797792385, 10.403882032022077), (10.403882032022075, 0.09611796797792432)]"
10.600000000000001,3,2,"[(0.09519452813075763, 10.504805471869245), (2.045203647223249, 2.0452036472232464), (10.50480547186924, 0.09519452813075832)]","[(0.09519452813075763, 10.504805471869245), (10.50480547186924, 0.09519452813075832)]"
10.700000000000001,3,2,"[(0.09428882072083414, 10.605711179279167), (2.0525599617701507, 2.0525599617701475), (10.605711179279165, 0.0942888207208342)]","[(0.09428882072083414, 10.605711179279167), (10.605711179279165, 0.0942888207208342)]"
10.8,3,2,"[(0.09340033543136195, 10.706599664568637), (2.0598677347196643, 2.059867734719661), (10.706599664568639, 0.09340033543136025)]","[(0.09340033543136195, 10.706599664568637), (10.706599664568639, 0.09340033543136025)]"
10.9,3,2,"[(0.09252858150414445, 10.807471418495854), (2.067127746699337, 2.067127746699335), (10.807471418495858, 0.09252858150414392)]","[(0.09252858150414445, 10.807471418495854), (10.807471418495858, 0.09252858150414392)]"
11.0,3,2,"[(0.09167308680401554, 10.908326913195985), (2.074340758604671, 2.0743407586046705), (10.908326913195985, 0.09167308680401605)]","[(0.09167308680401554, 10.908326913195985), (10.908326913195985, 0.09167308680401605)]"
